2.1079,1.0581,0.50053,0.27047,-0.18807,0.16249,0.024299,-0.25521,-0.29848,-0.13206,-0.075082,-0.33059,-0.44022,-0.35956,-0.36672,-0.43942,-0.49796,-0.56567,-0.48534,-0.53515,-0.37787,-0.42472,-0.38127,-0.27863,-0.20779,-0.27601,0.12361,0.13624,0.83485,2.1183,-0.0046146,-0.4164
1.9915,0.99611,0.47443,0.24326,-0.19591,0.1553,0.029097,-0.2517,-0.29342,-0.11914,-0.055449,-0.31319,-0.42545,-0.33064,-0.32669,-0.39844,-0.4566,-0.53007,-0.45873,-0.49487,-0.35247,-0.41134,-0.36617,-0.24234,-0.18876,-0.27707,0.11429,0.14271,0.78284,1.9974,-0.0221,-0.41634
1.877,0.93549,0.44816,0.21693,-0.20344,0.14738,0.031777,-0.24849,-0.2885,-0.1075,-0.037108,-0.29636,-0.41071,-0.30283,-0.28791,-0.35827,-0.41546,-0.49435,-0.43205,-0.45402,-0.32727,-0.39796,-0.35108,-0.2064,-0.17015,-0.2778,0.1055,0.14871,0.73221,1.8791,-0.0387,-0.41591
1.7645,0.87624,0.42179,0.19156,-0.21053,0.13879,0.032286,-0.2455,-0.2836,-0.097215,-0.020116,-0.28008,-0.39593,-0.27619,-0.25054,-0.3191,-0.37473,-0.45862,-0.4053,-0.41278,-0.30224,-0.38449,-0.33593,-0.17099,-0.15201,-0.27807,0.097231,0.15419,0.68301,1.7635,-0.054297,-0.41492
1.6542,0.81839,0.39539,0.16723,-0.21703,0.12956,0.030617,-0.24266,-0.27862,-0.088346,-0.0045183,-0.26432,-0.38103,-0.25077,-0.21477,-0.28115,-0.33463,-0.42298,-0.37847,-0.37131,-0.27739,-0.37081,-0.32068,-0.1363,-0.13441,-0.27776,0.089495,0.15907,0.63528,1.6507,-0.068782,-0.4132
1.546,0.76197,0.36903,0.14403,-0.22281,0.11977,0.026809,-0.23989,-0.27346,-0.080929,0.0096468,-0.24907,-0.36598,-0.22662,-0.18075,-0.24459,-0.29536,-0.38754,-0.3516,-0.32979,-0.25274,-0.35684,-0.30531,-0.10252,-0.1174,-0.27676,0.082283,0.16331,0.58903,1.5407,-0.082049,-0.41057
1.4399,0.70701,0.3428,0.12205,-0.22774,0.10948,0.020953,-0.23709,-0.26803,-0.074971,0.022351,-0.23429,-0.35073,-0.20377,-0.14865,-0.2096,-0.25709,-0.35241,-0.32472,-0.28843,-0.22831,-0.34249,-0.28977,-0.069823,-0.10104,-0.27495,0.075585,0.16685,0.54429,1.4335,-0.094005,-0.4069
1.3361,0.65352,0.31677,0.10135,-0.23171,0.098771,0.013181,-0.23418,-0.26224,-0.070453,0.033575,-0.21997,-0.33524,-0.18224,-0.11858,-0.17633,-0.22001,-0.31771,-0.29786,-0.24741,-0.20413,-0.3277,-0.27406,-0.038407,-0.085373,-0.27225,0.069385,0.16964,0.50105,1.3291,-0.10456,-0.40203
1.2345,0.60152,0.29103,0.082004,-0.2346,0.087741,0.0036768,-0.23107,-0.25602,-0.067331,0.043309,-0.20607,-0.31949,-0.16207,-0.090655,-0.14491,-0.18429,-0.28356,-0.27108,-0.20694,-0.18024,-0.31243,-0.25815,-0.0084473,-0.070447,-0.26857,0.063661,0.17163,0.45931,1.2275,-0.11366,-0.39586
1.1351,0.55102,0.26566,0.064057,-0.23632,0.076485,-0.0073386,-0.22767,-0.2493,-0.065534,0.051553,-0.19258,-0.30346,-0.14324,-0.064959,-0.11546,-0.15007,-0.25007,-0.24444,-0.16723,-0.15669,-0.29664,-0.24205,0.019881,-0.0563,-0.26385,0.058388,0.17278,0.41906,1.1287,-0.12123,-0.38828
1.0379,0.50202,0.24074,0.047556,-0.23679,0.065107,-0.019604,-0.22388,-0.24203,-0.064967,0.058318,-0.17946,-0.28713,-0.12575,-0.041554,-0.088052,-0.11749,-0.21735,-0.218,-0.12848,-0.13354,-0.28031,-0.22577,0.046412,-0.042965,-0.25803,0.053534,0.17306,0.38027,1.0326,-0.12723,-0.37922
0.94296,0.45452,0.21634,0.03253,-0.23593,0.053715,-0.032826,-0.21963,-0.23415,-0.065508,0.063622,-0.16669,-0.27051,-0.10959,-0.020478,-0.06276,-0.086671,-0.18551,-0.19185,-0.090894,-0.11084,-0.26344,-0.20931,0.070991,-0.030468,-0.25107,0.049062,0.17243,0.3429,0.93929,-0.13165,-0.36859
0.85021,0.4085,0.19252,0.018995,-0.23371,0.042416,-0.046686,-0.21481,-0.22564,-0.067019,0.067494,-0.15424,-0.2536,-0.094737,-0.0017424,-0.03962,-0.057703,-0.15466,-0.16607,-0.054685,-0.088674,-0.24603,-0.19268,0.093477,-0.018828,-0.24296,0.044932,0.17087,0.30692,0.84858,-0.13446,-0.35638
0.75963,0.36394,0.16936,0.006954,-0.23007,0.031317,-0.060845,-0.20936,-0.21645,-0.069337,0.069976,-0.14208,-0.23641,-0.081139,0.014666,-0.018643,-0.030666,-0.12489,-0.14074,-0.020044,-0.067105,-0.22811,-0.17593,0.11374,-0.0080579,-0.23369,0.041102,0.16837,0.27228,0.76042,-0.13568,-0.34254
0.6712,0.32081,0.14688,-0.0036075,-0.22499,0.020521,-0.074954,-0.2032,-0.20656,-0.072287,0.071116,-0.13017,-0.21895,-0.068749,0.028787,0.00018232,-0.0056171,-0.096301,-0.11595,0.012841,-0.046213,-0.2097,-0.15907,0.13167,0.0018377,-0.22325,0.037526,0.16491,0.23892,0.67474,-0.13532,-0.32708
0.58488,0.27906,0.12515,-0.012718,-0.21848,0.010126,-0.08866,-0.19625,-0.19597,-0.075681,0.070973,-0.11849,-0.20124,-0.057505,0.040684,0.016892,0.017404,-0.068962,-0.091785,0.043791,-0.026076,-0.19085,-0.14213,0.14718,0.01086,-0.21167,0.034156,0.16049,0.2068,0.59143,-0.13343,-0.31001
0.50063,0.23866,0.10418,-0.020422,-0.21052,0.00022151,-0.10162,-0.18847,-0.18467,-0.079321,0.069619,-0.10701,-0.1833,-0.047335,0.050443,0.031544,0.038379,-0.04295,-0.068342,0.072641,-0.0067754,-0.1716,-0.12514,0.1602,0.019018,-0.19898,0.030944,0.15511,0.17584,0.5104,-0.13005,-0.29136
0.4184,0.19954,0.083996,-0.026781,-0.20115,-0.0091099,-0.11349,-0.17979,-0.17266,-0.083005,0.067132,-0.095681,-0.16516,-0.038158,0.058175,0.044218,0.057305,-0.018327,-0.045705,0.099241,0.011612,-0.152,-0.10815,0.17068,0.026326,-0.18521,0.027844,0.14879,0.146,0.43152,-0.12526,-0.27118
0.33814,0.16163,0.064608,-0.031867,-0.19039,-0.017798,-0.12396,-0.17016,-0.15993,-0.086531,0.063602,-0.084481,-0.14682,-0.029884,0.064009,0.055011,0.074198,0.0048528,-0.023955,0.12346,0.02901,-0.13212,-0.09119,0.1786,0.032804,-0.17043,0.024809,0.14154,0.1172,0.35468,-0.11913,-0.24954
0.25979,0.12487,0.046011,-0.035772,-0.17828,-0.025783,-0.13274,-0.15956,-0.14651,-0.0897,0.059127,-0.07337,-0.12832,-0.022416,0.068091,0.064037,0.089091,0.026549,-0.0031705,0.14517,0.045346,-0.11202,-0.07429,0.18395,0.038482,-0.15468,0.021794,0.13338,0.089385,0.27976,-0.11175,-0.2265
