subject,condition,n_std,n_dev,lateralization_RminusL_uV,GFP_uV,peak_lat_Fz_ms,Fz_MMN_130_200_uV,Cz_MMN_130_200_uV,F4_MMN_130_200_uV,split_half_topo_r
imokawa,water,1029,193,0.246107225442304,0.774029605405125,127.9296875,-0.830631363655581,-0.332640718682529,-1.21099029457475,0.78446522601477
-0.736235090605266,0.0579000246719707,-0.186767216598932,0.542600338124897,nenndo,-0.218920973771289,220,1003,126.953125,0.650386381511781,imokawa
