-2.4577,-2.0492,-1.9644,-1.3792,-0.64785,-1.2641,-0.68231,-0.1634,1.1539,0.66243,0.91971,1.8885,1.8379,2.1826,2.1785,2.615,2.6278,2.2461,1.5918,1.2479,0.31398,0.61015,-0.58723,-0.34422,-1.1074,-0.63501,-1.4385,-1.4574,-2.3381,-2.6378,-1.1753,0.24946
-2.4809,-2.0242,-1.9732,-1.3803,-0.63218,-1.2322,-0.67747,-0.11636,1.1638,0.65909,0.94141,1.9053,1.7989,2.2246,2.2528,2.6652,2.6082,2.1799,1.5453,1.1368,0.29745,0.60186,-0.57417,-0.35811,-1.1439,-0.63807,-1.4086,-1.4932,-2.3422,-2.5948,-1.1771,0.26281
-2.4981,-1.9946,-1.9761,-1.3791,-0.61676,-1.197,-0.66925,-0.070971,1.1691,0.65215,0.95589,1.914,1.7565,2.2571,2.3123,2.6991,2.581,2.111,1.4984,1.0273,0.2828,0.59448,-0.55854,-0.36821,-1.1771,-0.64087,-1.3755,-1.5176,-2.3299,-2.5412,-1.1769,0.27341
-2.5088,-1.9601,-1.9727,-1.3753,-0.60136,-1.1585,-0.65768,-0.027235,1.1699,0.64187,0.96324,1.9145,1.7107,2.2796,2.3562,2.7161,2.5459,2.0393,1.451,0.91962,0.26988,0.58779,-0.54047,-0.37488,-1.2066,-0.64316,-1.3395,-1.5306,-2.301,-2.4776,-1.1744,0.28117
-2.512,-1.9207,-1.9624,-1.3684,-0.58575,-1.1167,-0.64281,0.014872,1.1662,0.62855,0.96365,1.9064,1.6617,2.2915,2.3841,2.7159,2.5028,1.965,1.4032,0.8143,0.25849,0.58157,-0.52009,-0.37848,-1.2321,-0.6447,-1.301,-1.5325,-2.2557,-2.4049,-1.1692,0.28605
-2.5071,-1.8762,-1.945,-1.3581,-0.56967,-1.0715,-0.62475,0.055383,1.1581,0.61254,0.95737,1.8898,1.6096,2.2928,2.3958,2.6983,2.4515,1.8881,1.3548,0.71169,0.2484,0.57557,-0.49758,-0.37942,-1.253,-0.64522,-1.2602,-1.5235,-2.1944,-2.3239,-1.1611,0.28806
-2.4934,-1.8266,-1.9201,-1.3439,-0.5529,-1.0231,-0.60363,0.094336,1.1458,0.59417,0.94471,1.8647,1.5544,2.283,2.3912,2.6633,2.3917,1.8086,1.3056,0.6121,0.23938,0.56955,-0.47311,-0.37809,-1.2692,-0.64445,-1.2173,-1.504,-2.1177,-2.2355,-1.1496,0.28724
-2.4705,-1.7719,-1.8876,-1.3255,-0.5352,-0.97135,-0.57962,0.13177,1.1295,0.57382,0.92604,1.8312,1.4965,2.2622,2.3706,2.6113,2.3234,1.7265,1.2556,0.5158,0.23116,0.56321,-0.44691,-0.37491,-1.2803,-0.64213,-1.1726,-1.4745,-2.0266,-2.1406,-1.1346,0.28368
-2.4379,-1.7123,-1.8472,-1.3027,-0.51634,-0.91652,-0.55293,0.16772,1.1093,0.55186,0.90179,1.7895,1.4357,2.2304,2.3343,2.5427,2.2466,1.6419,1.2045,0.42305,0.22349,0.5563,-0.41918,-0.37025,-1.286,-0.63799,-1.1263,-1.4356,-1.9221,-2.0401,-1.1159,0.27749
-2.3952,-1.6477,-1.7988,-1.2751,-0.49614,-0.85876,-0.5238,0.2022,1.0854,0.52864,0.8724,1.7398,1.3724,2.1876,2.2829,2.458,2.1614,1.5548,1.1523,0.33407,0.21609,0.54851,-0.39015,-0.36447,-1.2861,-0.63177,-1.0785,-1.3878,-1.8054,-1.9348,-1.0931,0.26882
