5.1098,2.6566,0.27703,0.35302,-1.1516,-0.79518,-2.3666,-1.2182,-1.2188,-1.2031,-0.71385,-1.137,-0.77058,-0.85151,-0.87421,-0.070737,-0.97562,-0.62701,-0.36405,-0.94365,-0.37907,-0.6131,-0.20256,-1.0323,0.32724,-0.24312,0.62285,0.54441,2.5767,5.5234,0.31893,-0.55607
4.7799,2.4611,0.21859,0.30649,-1.1362,-0.78096,-2.3146,-1.1601,-1.1209,-1.1409,-0.60265,-1.0339,-0.67158,-0.76939,-0.79141,-0.042664,-0.91554,-0.58077,-0.31181,-0.90535,-0.35275,-0.54634,-0.18066,-0.9873,0.30692,-0.215,0.56114,0.49119,2.4305,5.1996,0.30628,-0.49897
4.4582,2.2711,0.16175,0.26172,-1.1144,-0.76616,-2.2596,-1.1019,-1.0246,-1.0808,-0.50161,-0.93444,-0.57529,-0.69126,-0.71282,-0.018131,-0.85479,-0.53337,-0.2607,-0.86493,-0.327,-0.48003,-0.15971,-0.94247,0.28417,-0.18766,0.50105,0.43823,2.285,4.8819,0.29379,-0.44327
4.1446,2.0866,0.1066,0.21874,-1.086,-0.75075,-2.2014,-1.0438,-0.93008,-1.0227,-0.41118,-0.83881,-0.48201,-0.61716,-0.63845,0.0031173,-0.79341,-0.48488,-0.21079,-0.82242,-0.30167,-0.41433,-0.13963,-0.89769,0.25926,-0.16112,0.44284,0.38572,2.1402,4.5702,0.28143,-0.38904
3.839,1.9077,0.053248,0.17758,-1.0513,-0.73472,-2.1397,-0.98568,-0.83759,-0.96676,-0.33168,-0.74713,-0.39203,-0.5471,-0.56826,0.021346,-0.73147,-0.43541,-0.16217,-0.77785,-0.27661,-0.34942,-0.12039,-0.85284,0.23245,-0.1354,0.38672,0.33389,1.9962,4.2644,0.26911,-0.33634
3.5413,1.7346,0.0017958,0.13825,-1.0103,-0.71803,-2.0745,-0.92777,-0.74729,-0.91284,-0.26327,-0.65952,-0.30566,-0.48105,-0.50221,0.036827,-0.66908,-0.38511,-0.11496,-0.73132,-0.2517,-0.28549,-0.10194,-0.80784,0.20407,-0.11052,0.33293,0.28295,1.8532,3.9646,0.2568,-0.28524
3.2516,1.5673,-0.047646,0.10078,-0.96339,-0.70066,-2.0055,-0.87013,-0.65939,-0.86094,-0.206,-0.57605,-0.22317,-0.41897,-0.44019,0.049831,-0.60636,-0.33416,-0.069268,-0.68296,-0.22686,-0.22275,-0.084248,-0.76261,0.17442,-0.08651,0.28164,0.23314,1.7114,3.6706,0.24443,-0.23579
2.9697,1.4058,-0.094963,0.065155,-0.91074,-0.68259,-1.9326,-0.81288,-0.57405,-0.81097,-0.15976,-0.49678,-0.14483,-0.36078,-0.38209,0.06063,-0.54349,-0.28276,-0.025238,-0.63293,-0.20201,-0.16144,-0.067283,-0.7171,0.14387,-0.063403,0.23304,0.18471,1.5709,3.3826,0.23195,-0.18807
2.6955,1.2501,-0.14003,0.031395,-0.85275,-0.66377,-1.8559,-0.75611,-0.49147,-0.76286,-0.1243,-0.42172,-0.07087,-0.30636,-0.32777,0.069485,-0.48064,-0.23116,0.016981,-0.58141,-0.1771,-0.10179,-0.051027,-0.67125,0.11277,-0.041233,0.18728,0.1379,1.4319,3.1004,0.21932,-0.14215
2.429,1.1002,-0.18272,-0.0005046,-0.78986,-0.64416,-1.7752,-0.69993,-0.4118,-0.71648,-0.099251,-0.35088,-0.0015239,-0.25559,-0.27705,0.07665,-0.41803,-0.17963,0.057233,-0.52864,-0.1521,-0.044064,-0.035472,-0.62507,0.08147,-0.020038,0.14448,0.092951,1.2947,2.8242,0.2065,-0.098096
2.1701,0.95618,-0.22291,-0.030546,-0.72256,-0.62373,-1.6906,-0.64445,-0.33521,-0.6717,-0.084074,-0.28422,0.063011,-0.20834,-0.22978,0.082362,-0.35589,-0.12844,0.095354,-0.47485,-0.12701,0.011486,-0.020619,-0.57856,0.050326,0.00013781,0.10475,0.050105,1.1595,2.5539,0.19344,-0.055983
1.9188,0.8179,-0.26044,-0.058732,-0.6514,-0.60242,-1.602,-0.58975,-0.26183,-0.62839,-0.078115,-0.22171,0.12256,-0.16444,-0.18576,0.086839,-0.29447,-0.077906,0.13118,-0.42032,-0.10186,0.064594,-0.0064807,-0.53173,0.019684,0.019249,0.068139,0.0095887,1.0265,2.2896,0.18011,-0.01588
1.675,0.68534,-0.29517,-0.085064,-0.57695,-0.58017,-1.5095,-0.53591,-0.19181,-0.58636,-0.080597,-0.16326,0.17699,-0.12373,-0.14479,0.090281,-0.23401,-0.028348,0.16453,-0.36531,-0.076704,0.115,0.0069211,-0.48465,-0.010127,0.037247,0.034702,-0.028384,0.89597,2.0313,0.16649,0.022139
1.4387,0.55844,-0.32695,-0.10954,-0.49984,-0.55692,-1.4132,-0.48302,-0.12524,-0.54545,-0.090627,-0.1088,0.22617,-0.086039,-0.10668,0.09286,-0.17481,0.019903,0.19525,-0.31014,-0.051605,0.16243,0.019553,-0.43736,-0.038799,0.05408,0.0044501,-0.063617,0.76809,1.7791,0.15255,0.058006
1.2098,0.43714,-0.35562,-0.13216,-0.42075,-0.53261,-1.3131,-0.43112,-0.062244,-0.50545,-0.10722,-0.058226,0.27002,-0.051186,-0.071247,0.094725,-0.11714,0.06651,0.22317,-0.25511,-0.026665,0.20663,0.031374,-0.38996,-0.066048,0.069694,-0.022634,-0.095935,0.64313,1.5332,0.1383,0.091648
0.98833,0.32138,-0.38103,-0.15292,-0.34035,-0.50714,-1.2094,-0.38027,-0.0028906,-0.46617,-0.12929,-0.011413,0.30848,-0.018996,-0.038298,0.095999,-0.061285,0.11113,0.24813,-0.20052,-0.0019999,0.24736,0.042336,-0.34254,-0.091618,0.084035,-0.046595,-0.12519,0.52132,1.2935,0.12372,0.123
0.7743,0.21109,-0.403,-0.17179,-0.25934,-0.48045,-1.1022,-0.33048,0.052744,-0.42739,-0.15569,0.031764,0.34154,0.010708,-0.0076603,0.096778,-0.0075276,0.15343,0.26998,-0.14669,0.022251,0.28438,0.052383,-0.29522,-0.11528,0.097046,-0.067503,-0.15125,0.40289,1.0602,0.10881,0.15198
0.56771,0.1062,-0.42139,-0.18876,-0.17843,-0.45245,-0.99176,-0.28178,0.1046,-0.38889,-0.18524,0.071443,0.36919,0.038095,0.020827,0.097131,0.043849,0.19308,0.28859,-0.093923,0.045933,0.31746,0.061459,-0.24811,-0.13685,0.10867,-0.085455,-0.17403,0.28806,0.83328,0.0936,0.17854
0.36859,0.0066495,-0.43602,-0.20379,-0.098326,-0.42303,-0.87821,-0.23416,0.15264,-0.35044,-0.21671,0.10776,0.39147,0.063328,0.04731,0.097099,0.092568,0.22975,0.30384,-0.042528,0.068875,0.3464,0.069505,-0.20136,-0.15616,0.11886,-0.10057,-0.19347,0.17704,0.61295,0.078101,0.2026
0.17696,-0.087619,-0.44676,-0.21684,-0.019723,-0.39211,-0.76179,-0.1876,0.19683,-0.31181,-0.24885,0.14087,0.40845,0.086558,0.071915,0.096698,0.13837,0.26314,0.31562,0.0072051,0.090896,0.37101,0.076465,-0.1551,-0.17309,0.12757,-0.113,-0.20952,0.070049,0.39926,0.062346,0.2241
-0.0071211,-0.17666,-0.45345,-0.22787,0.056708,-0.3596,-0.64274,-0.14206,0.23715,-0.27279,-0.28044,0.17091,0.42022,0.10792,0.094749,0.095919,0.18099,0.29296,0.32383,0.054996,0.11181,0.39113,0.082286,-0.10946,-0.18754,0.13474,-0.12289,-0.2222,-0.032739,0.19231,0.046374,0.24297
-0.18361,-0.2605,-0.45595,-0.23683,0.13032,-0.32538,-0.52133,-0.097496,0.27359,-0.23317,-0.31028,0.19803,0.42689,0.12754,0.1159,0.094732,0.22021,0.31894,0.32841,0.10058,0.13141,0.40663,0.086922,-0.064581,-0.19944,0.14034,-0.13044,-0.23153,-0.13114,-0.007809,0.030234,0.25914
-0.35243,-0.33919,-0.45412,-0.24364,0.20052,-0.28938,-0.39786,-0.053848,0.30616,-0.19274,-0.33721,0.22234,0.4286,0.14552,0.13543,0.093085,0.25582,0.34084,0.32931,0.14372,0.14952,0.41739,0.090334,-0.020596,-0.20877,0.14434,-0.13583,-0.23759,-0.225,-0.20102,0.01398,0.27257
-0.51353,-0.41275,-0.44786,-0.24825,0.26674,-0.25151,-0.27264,-0.011045,0.33487,-0.15132,-0.36015,0.24398,0.42553,0.16195,0.1534,0.09091,0.28763,0.35844,0.3265,0.18419,0.16593,0.42334,0.092497,0.022373,-0.2155,0.14671,-0.13927,-0.24045,-0.31418,-0.38722,-0.0023211,0.28318
-0.66684,-0.48119,-0.43706,-0.25057,0.32846,-0.21167,-0.146,0.030992,0.35973,-0.10876,-0.37809,0.26306,0.41784,0.17689,0.16982,0.088124,0.31548,0.37157,0.31997,0.22178,0.18047,0.42443,0.093397,0.064212,-0.21966,0.14744,-0.14096,-0.24024,-0.39853,-0.56634,-0.018599,0.29092
-0.81229,-0.54452,-0.42164,-0.25054,0.38526,-0.1698,-0.018314,0.072344,0.38078,-0.064916,-0.39014,0.27969,0.40574,0.19039,0.18471,0.084638,0.33925,0.38009,0.30975,0.25635,0.19295,0.42065,0.093032,0.10482,-0.22127,0.14652,-0.14113,-0.2371,-0.47795,-0.7383,-0.034772,0.29573
-0.94983,-0.60273,-0.40154,-0.24806,0.43673,-0.12585,0.11005,0.11309,0.39803,-0.019679,-0.3955,0.29395,0.38944,0.20249,0.19808,0.080355,0.35884,0.38388,0.29589,0.28773,0.20322,0.41201,0.091419,0.14411,-0.22038,0.14396,-0.13999,-0.2312,-0.55236,-0.90304,-0.050755,0.29755
-1.0794,-0.65583,-0.37673,-0.24305,0.48257,-0.079761,0.23869,0.15331,0.41153,0.027035,-0.39352,0.30592,0.36917,0.21319,0.2099,0.07518,0.3742,0.38289,0.27845,0.31581,0.21114,0.39856,0.08859,0.18201,-0.21705,0.13976,-0.13775,-0.22272,-0.62166,-1.0605,-0.066455,0.29635
-1.201,-0.70381,-0.3472,-0.23545,0.52253,-0.031527,0.36719,0.19308,0.42131,0.075275,-0.38367,0.31567,0.34516,0.22251,0.22016,0.069021,0.38532,0.3771,0.25754,0.34053,0.21657,0.38038,0.084591,0.21846,-0.21135,0.13395,-0.13462,-0.21187,-0.68581,-1.2106,-0.081774,0.29208
-1.3145,-0.74666,-0.31298,-0.22517,0.55644,0.018856,0.49512,0.23247,0.42743,0.12506,-0.36556,0.32325,0.31765,0.23042,0.22885,0.061797,0.39222,0.36654,0.23329,0.36182,0.21941,0.35759,0.079487,0.25342,-0.20337,0.12657,-0.1308,-0.19887,-0.74477,-1.3534,-0.096611,0.2847
-1.42,-0.78441,-0.27413,-0.21215,0.5842,0.071361,0.62202,0.27153,0.42994,0.17636,-0.33893,0.32871,0.2869,0.2369,0.23594,0.053436,0.39496,0.3513,0.20585,0.37966,0.21957,0.33035,0.073358,0.28688,-0.19318,0.11766,-0.12648,-0.18395,-0.79854,-1.4889,-0.11086,0.27419
-1.5176,-0.81705,-0.23075,-0.19636,0.6058,0.12593,0.74745,0.31029,0.42889,0.22912,-0.3037,0.33208,0.25316,0.24192,0.24144,0.043887,0.39367,0.33149,0.17541,0.39407,0.21702,0.29884,0.066299,0.31883,-0.18087,0.10727,-0.12185,-0.16734,-0.84712,-1.6169,-0.12443,0.26054
-1.6072,-0.84462,-0.18296,-0.17775,0.62129,0.18248,0.87092,0.34879,0.42437,0.28325,-0.25989,0.33339,0.21671,0.24544,0.24534,0.033119,0.38849,0.30731,0.14218,0.40509,0.21171,0.26328,0.058421,0.34931,-0.16653,0.095483,-0.11706,-0.14929,-0.89055,-1.7377,-0.1372,0.24376
-1.689,-0.86718,-0.13096,-0.15631,0.63078,0.2409,0.99198,0.38703,0.41644,0.33861,-0.20769,0.33267,0.1778,0.24742,0.24765,0.021126,0.37963,0.27897,0.10642,0.4128,0.20366,0.22393,0.049849,0.37834,-0.15027,0.082367,-0.11228,-0.13004,-0.92891,-1.8512,-0.14909,0.22387
-1.7632,-0.88479,-0.074951,-0.13206,0.63448,0.30102,1.1101,0.42501,0.40521,0.39502,-0.1474,0.32993,0.13671,0.24782,0.24842,0.0079301,0.36734,0.24678,0.068382,0.4173,0.19288,0.18108,0.040718,0.40597,-0.13215,0.06802,-0.10764,-0.10986,-0.96228,-1.9576,-0.15998,0.20091
-1.8299,-0.89757,-0.015196,-0.10504,0.63264,0.36266,1.2249,0.46269,0.39076,0.45227,-0.079471,0.3252,0.093726,0.24661,0.24768,-0.006416,0.35191,0.21106,0.028377,0.41872,0.17945,0.13504,0.03118,0.43228,-0.11229,0.052546,-0.10327,-0.088978,-0.99077,-2.0569,-0.1698,0.17495
